,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative
33,2010,2-Abilene,Female,Anglo,Six to Twelve Years Old,3.0,12.0,,6.0,3.0,,,,15,11,269,24.454545454545453,14.0,14.0,35.0,16.0,35.0,16.0
34,2010,2-Abilene,Female,Hispanic,Birth to Five Years Old,10.0,1.0,2.0,,,,,,13,6,54,9.0,10.0,10.0,21.0,17.0,22.0,16.0
35,2010,2-Abilene,Female,Hispanic,Six to Twelve Years Old,1.0,,,2.0,,,,,4,6,90,15.0,14.0,14.0,24.0,8.0,26.0,6.0
36,2010,2-Abilene,Male,African American,Birth to Five Years Old,10.0,2.0,1.0,,1.0,2.0,,1.0,12,1,11,11.0,10.0,10.0,12.0,8.0,13.0,7.0
37,2010,2-Abilene,Male,African American,Six to Twelve Years Old,3.0,,,,1.0,1.0,,1.0,3,12,292,24.333333333333332,14.0,14.0,22.0,5.0,22.0,5.0
38,2010,2-Abilene,Male,Anglo,Birth to Five Years Old,2.0,12.0,3.0,,,1.0,,,12,8,63,7.875,10.0,10.0,27.0,19.0,27.0,19.0
39,2010,2-Abilene,Male,Anglo,Six to Twelve Years Old,1.0,6.0,,,2.0,,,,9,10,195,19.5,14.0,14.0,32.0,13.0,32.0,13.0
40,2010,2-Abilene,Male,Hispanic,Birth to Five Years Old,6.0,,2.0,,,1.0,,,6,7,54,7.714285714285714,10.0,10.0,27.0,11.0,26.0,12.0
41,2010,2-Abilene,Male,Hispanic,Six to Twelve Years Old,3.0,,,1.0,,,,,2,4,144,36.0,10.0,14.0,19.0,8.0,19.0,8.0
42,2010,3-Arlington,Female,African American,Birth to Five Years Old,20.0,70.0,19.0,1.0,8.0,7.0,,3.0,80,62,654,10.548387096774194,10.0,10.0,41.0,37.0,45.0,33.0
