,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions
238,2011,3-Arlington,Male,Hispanic,Birth to Five Years Old,39.0,11.0,19.0,1.0,3.0,3.0,0.0,0.0,55,47,382,8.127659574468085,10.0,10.0,50.0,36.0,52.0,34.0,50.0,86.0,36.76470588235294
239,2011,3-Arlington,Male,Hispanic,Six to Twelve Years Old,20.0,11.0,1.0,6.0,10.0,4.0,0.0,1.0,35,42,874,20.80952380952381,14.0,14.0,53.0,30.0,56.0,27.0,31.0,83.0,27.192982456140353
240,2011,3-Arlington,Male,Hispanic,Thirteen to Seventeen Years Old,8.0,1.0,1.0,6.0,5.0,0.0,0.0,0.0,9,15,720,48.0,10.0,10.0,42.0,23.0,49.0,16.0,9.0,65.0,12.162162162162163
241,2011,3-Arlington,Male,Other,Six to Twelve Years Old,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,65,21.66666666666667,6.0,14.0,5.0,3.0,4.0,4.0,0.0,8.0,0.0
242,2011,3-Arlington,Male,Other,Thirteen to Seventeen Years Old,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,1,11,11.0,8.0,10.0,6.0,2.0,5.0,3.0,0.0,8.0,0.0
243,2011,4-Tyler,Female,African American,Birth to Five Years Old,9.0,8.0,5.0,0.0,3.0,2.0,0.0,1.0,21,34,347,10.205882352941176,10.0,10.0,34.0,35.0,40.0,29.0,17.0,69.0,19.767441860465116
244,2011,4-Tyler,Female,African American,Six to Twelve Years Old,6.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,13,23,599,26.04347826086957,14.0,14.0,31.0,22.0,32.0,21.0,16.0,53.0,23.18840579710145
245,2011,4-Tyler,Female,African American,Thirteen to Seventeen Years Old,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2,2,35,17.5,8.0,9.0,33.0,3.0,32.0,4.0,0.0,36.0,0.0
246,2011,4-Tyler,Female,Anglo,Birth to Five Years Old,3.0,31.0,5.0,0.0,2.0,3.0,0.0,1.0,34,36,270,7.5,10.0,10.0,55.0,53.0,63.0,45.0,34.0,108.0,23.943661971830984
247,2011,4-Tyler,Female,Anglo,Six to Twelve Years Old,2.0,24.0,2.0,6.0,3.0,2.0,0.0,0.0,28,13,207,15.923076923076925,14.0,14.0,52.0,39.0,57.0,34.0,26.0,91.0,22.22222222222222
