,Fiscal Year,Region,Gender,Race/Ethnicity,Age Group,Different Race/Ethnicity as Adoptive Parent,Same Race/Ethnicity as Adoptive Parent,Disabling Condition: Drug or Alcohol,Disabling Condition: Emotionally Disturbed,Disabling Condition: Learning Disability,Disabling Condition: Medically Involved,Disabling Condition: Other,Disabling Condition: Physical,Children in Adoption Placements,Children Waiting on Adoption as of 8/31,Total Months Since Termination,Average Months Since Termination of Parental Rights,Removals,Victims,In Foster Care,In Other Substitute Care,In Substitute Care with Non-Relative,In Substitute Care with Relative,Number of Consummated Adoptions,Number of Kids in Substitute Care,Percent of Kids in Consummated Adoptions
414,2012,3-Arlington,Male,Anglo,Thirteen to Seventeen Years Old,0.0,9.0,0.0,1.0,1.0,1.0,0.0,0.0,6,61,2913,47.754098360655746,10.0,10.0,105.0,20.0,112.0,13.0,0.0,125.0,0.0
415,2012,3-Arlington,Male,Hispanic,Birth to Five Years Old,55.0,19.0,26.0,1.0,3.0,4.0,0.0,0.0,69,56,569,10.160714285714286,10.0,10.0,49.0,36.0,50.0,35.0,74.0,85.0,46.540880503144656
416,2012,3-Arlington,Male,Hispanic,Six to Twelve Years Old,21.0,9.0,1.0,8.0,4.0,0.0,0.0,0.0,29,56,1385,24.732142857142854,14.0,14.0,60.0,31.0,61.0,30.0,30.0,91.0,24.793388429752067
417,2012,3-Arlington,Male,Hispanic,Thirteen to Seventeen Years Old,5.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,6,29,958,33.03448275862069,10.0,10.0,38.0,21.0,45.0,14.0,8.0,59.0,11.940298507462686
418,2012,3-Arlington,Male,Other,Birth to Five Years Old,32.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,29,18,227,12.611111111111109,10.0,10.0,28.0,21.0,31.0,18.0,0.0,49.0,0.0
419,2012,3-Arlington,Male,Other,Six to Twelve Years Old,8.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,8,16,444,27.75,14.0,14.0,28.0,9.0,29.0,8.0,0.0,37.0,0.0
420,2012,4-Tyler,Female,African American,Birth to Five Years Old,15.0,12.0,2.0,1.0,2.0,5.0,0.0,0.0,26,10,135,13.5,10.0,10.0,20.0,26.0,27.0,19.0,27.0,46.0,36.986301369863014
421,2012,4-Tyler,Female,African American,Six to Twelve Years Old,2.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,9,16,428,26.75,12.0,14.0,23.0,16.0,24.0,15.0,9.0,39.0,18.75
422,2012,4-Tyler,Female,Anglo,Birth to Five Years Old,4.0,43.0,7.0,2.0,4.0,2.0,0.0,2.0,43,36,256,7.111111111111112,10.0,10.0,63.0,51.0,70.0,44.0,47.0,114.0,29.19254658385093
423,2012,4-Tyler,Female,Anglo,Six to Twelve Years Old,3.0,16.0,1.0,2.0,1.0,1.0,0.0,1.0,14,21,221,10.523809523809524,14.0,14.0,62.0,43.0,63.0,42.0,19.0,105.0,15.32258064516129
424,2012,4-Tyler,Female,Anglo,Thirteen to Seventeen Years Old,0.0,7.0,1.0,1.0,2.0,0.0,0.0,0.0,11,8,284,35.5,8.0,10.0,48.0,19.0,56.0,11.0,0.0,67.0,0.0
425,2012,4-Tyler,Female,Hispanic,Birth to Five Years Old,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,11,60,5.454545454545454,10.0,10.0,21.0,14.0,21.0,14.0,0.0,35.0,0.0
426,2012,4-Tyler,Female,Hispanic,Six to Twelve Years Old,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,8,8,78,9.75,14.0,14.0,17.0,12.0,18.0,11.0,9.0,29.0,23.684210526315788
427,2012,4-Tyler,Female,Other,Birth to Five Years Old,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9,6,94,15.666666666666664,10.0,10.0,12.0,16.0,11.0,17.0,0.0,28.0,0.0
428,2012,4-Tyler,Female,Other,Six to Twelve Years Old,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,5,149,29.8,10.0,14.0,7.0,10.0,8.0,9.0,0.0,17.0,0.0
429,2012,4-Tyler,Male,African American,Birth to Five Years Old,11.0,7.0,8.0,1.0,3.0,2.0,0.0,0.0,19,19,202,10.631578947368421,10.0,10.0,22.0,22.0,20.0,24.0,18.0,44.0,29.03225806451613
430,2012,4-Tyler,Male,African American,Six to Twelve Years Old,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,4,15,212,14.133333333333333,12.0,14.0,27.0,17.0,28.0,16.0,4.0,44.0,8.333333333333332
431,2012,4-Tyler,Male,African American,Thirteen to Seventeen Years Old,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3,9,478,53.111111111111114,8.0,10.0,35.0,11.0,37.0,9.0,2.0,46.0,4.166666666666666
432,2012,4-Tyler,Male,Anglo,Birth to Five Years Old,6.0,39.0,4.0,1.0,5.0,9.0,0.0,0.0,45,35,175,5.0,10.0,10.0,52.0,50.0,60.0,42.0,45.0,102.0,30.612244897959183
433,2012,4-Tyler,Male,Anglo,Six to Twelve Years Old,1.0,16.0,0.0,4.0,4.0,0.0,0.0,0.0,16,34,565,16.61764705882353,14.0,14.0,71.0,42.0,76.0,37.0,17.0,113.0,13.076923076923078
434,2012,4-Tyler,Male,Anglo,Thirteen to Seventeen Years Old,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2,13,453,34.846153846153854,10.0,10.0,67.0,16.0,73.0,10.0,0.0,83.0,0.0
435,2012,4-Tyler,Male,Hispanic,Birth to Five Years Old,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,11,7,37,5.285714285714286,10.0,10.0,18.0,14.0,19.0,13.0,11.0,32.0,25.581395348837212
436,2012,4-Tyler,Male,Hispanic,Six to Twelve Years Old,6.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4,6,45,7.5,12.0,14.0,18.0,8.0,17.0,9.0,7.0,26.0,21.21212121212121
437,2012,4-Tyler,Male,Other,Birth to Five Years Old,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,4,7,58,8.285714285714286,10.0,10.0,11.0,16.0,12.0,15.0,0.0,27.0,0.0
438,2012,5-Beaumont,Female,African American,Birth to Five Years Old,1.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,7,16,206,12.875,10.0,10.0,24.0,12.0,23.0,13.0,10.0,36.0,21.73913043478261
439,2012,5-Beaumont,Female,African American,Six to Twelve Years Old,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.0,12,6,72,12.0,12.0,14.0,25.0,18.0,25.0,18.0,0.0,43.0,0.0
440,2012,5-Beaumont,Female,Anglo,Birth to Five Years Old,3.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,11,24,112,4.666666666666667,10.0,10.0,35.0,24.0,31.0,28.0,11.0,59.0,15.714285714285714
441,2012,5-Beaumont,Female,Anglo,Six to Twelve Years Old,1.0,12.0,0.0,3.0,3.0,1.0,0.0,0.0,12,20,319,15.95,14.0,14.0,39.0,15.0,37.0,17.0,13.0,54.0,19.402985074626866
442,2012,5-Beaumont,Female,Anglo,Thirteen to Seventeen Years Old,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,6,52,8.666666666666666,8.0,10.0,34.0,4.0,34.0,4.0,0.0,38.0,0.0
443,2012,5-Beaumont,Female,Hispanic,Birth to Five Years Old,8.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,9,4,44,11.0,8.0,10.0,9.0,7.0,9.0,7.0,9.0,16.0,36.0
444,2012,5-Beaumont,Female,Other,Birth to Five Years Old,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,6,43,7.166666666666668,4.0,10.0,8.0,3.0,8.0,3.0,0.0,11.0,0.0
445,2012,5-Beaumont,Female,Other,Six to Twelve Years Old,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,3,3.0,8.0,14.0,5.0,5.0,6.0,4.0,0.0,10.0,0.0
446,2012,5-Beaumont,Male,African American,Birth to Five Years Old,2.0,11.0,4.0,0.0,0.0,0.0,1.0,0.0,13,17,81,4.764705882352942,10.0,10.0,27.0,15.0,26.0,16.0,13.0,42.0,23.636363636363637
447,2012,5-Beaumont,Male,African American,Six to Twelve Years Old,2.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,9,7,113,16.142857142857142,14.0,14.0,26.0,16.0,28.0,14.0,6.0,42.0,12.5
448,2012,5-Beaumont,Male,Anglo,Birth to Five Years Old,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,13,22,104,4.727272727272728,10.0,10.0,33.0,27.0,31.0,29.0,12.0,60.0,16.666666666666664
449,2012,5-Beaumont,Male,Anglo,Six to Twelve Years Old,2.0,13.0,1.0,0.0,7.0,2.0,0.0,0.0,13,16,261,16.3125,14.0,14.0,44.0,21.0,45.0,20.0,15.0,65.0,18.75
450,2012,5-Beaumont,Male,Anglo,Thirteen to Seventeen Years Old,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2,9,440,48.88888888888889,10.0,10.0,41.0,9.0,44.0,6.0,0.0,50.0,0.0
451,2012,5-Beaumont,Male,Hispanic,Birth to Five Years Old,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5,5,19,3.8,8.0,10.0,11.0,4.0,11.0,4.0,0.0,15.0,0.0
452,2012,5-Beaumont,Male,Other,Birth to Five Years Old,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1,1,1.0,10.0,10.0,10.0,4.0,9.0,5.0,0.0,14.0,0.0
453,2012,6-Houston,Female,African American,Birth to Five Years Old,20.0,136.0,36.0,1.0,8.0,7.0,0.0,0.0,156,193,1774,9.191709844559586,10.0,10.0,34.0,40.0,36.0,38.0,156.0,74.0,67.82608695652173
454,2012,6-Houston,Female,African American,Six to Twelve Years Old,7.0,69.0,1.0,12.0,11.0,3.0,1.0,1.0,103,152,3854,25.355263157894736,14.0,14.0,33.0,36.0,43.0,26.0,76.0,69.0,52.41379310344828
455,2012,6-Houston,Female,African American,Thirteen to Seventeen Years Old,0.0,25.0,0.0,5.0,7.0,1.0,0.0,0.0,26,73,2784,38.136986301369866,10.0,10.0,45.0,20.0,54.0,11.0,0.0,65.0,0.0
456,2012,6-Houston,Female,Anglo,Birth to Five Years Old,11.0,81.0,15.0,1.0,3.0,5.0,0.0,2.0,81,52,372,7.153846153846153,10.0,10.0,44.0,34.0,48.0,30.0,92.0,78.0,54.11764705882353
457,2012,6-Houston,Female,Anglo,Six to Twelve Years Old,15.0,44.0,1.0,2.0,2.0,0.0,0.0,4.0,54,50,855,17.1,14.0,14.0,59.0,45.0,59.0,45.0,59.0,104.0,36.19631901840491
458,2012,6-Houston,Female,Anglo,Thirteen to Seventeen Years Old,4.0,15.0,0.0,3.0,1.0,1.0,0.0,1.0,18,35,1016,29.02857142857143,10.0,10.0,56.0,26.0,62.0,20.0,19.0,82.0,18.81188118811881
459,2012,6-Houston,Female,Hispanic,Birth to Five Years Old,53.0,26.0,11.0,2.0,6.0,3.0,1.0,1.0,98,87,758,8.71264367816092,10.0,10.0,24.0,34.0,33.0,25.0,79.0,58.0,57.66423357664233
460,2012,6-Houston,Female,Hispanic,Six to Twelve Years Old,31.0,28.0,2.0,7.0,7.0,1.0,0.0,0.0,62,80,1498,18.725,14.0,14.0,47.0,24.0,41.0,30.0,59.0,71.0,45.38461538461539
461,2012,6-Houston,Female,Hispanic,Thirteen to Seventeen Years Old,5.0,4.0,0.0,3.0,4.0,1.0,0.0,1.0,8,41,1726,42.09756097560975,10.0,10.0,53.0,19.0,53.0,19.0,9.0,72.0,11.11111111111111
462,2012,6-Houston,Female,Other,Birth to Five Years Old,25.0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,21,10,65,6.5,10.0,10.0,12.0,19.0,16.0,15.0,0.0,31.0,0.0
463,2012,6-Houston,Female,Other,Six to Twelve Years Old,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,14,160,11.428571428571427,14.0,14.0,22.0,10.0,21.0,11.0,0.0,32.0,0.0
464,2012,6-Houston,Male,African American,Birth to Five Years Old,38.0,118.0,44.0,1.0,12.0,15.0,3.0,2.0,183,225,2426,10.782222222222224,10.0,10.0,39.0,36.0,40.0,35.0,156.0,75.0,67.53246753246754
465,2012,6-Houston,Male,African American,Six to Twelve Years Old,8.0,61.0,2.0,14.0,21.0,3.0,0.0,0.0,90,191,5016,26.261780104712038,14.0,14.0,49.0,36.0,48.0,37.0,69.0,85.0,44.8051948051948
466,2012,6-Houston,Male,African American,Thirteen to Seventeen Years Old,4.0,22.0,3.0,7.0,8.0,1.0,0.0,1.0,27,92,4645,50.48913043478261,10.0,10.0,52.0,16.0,57.0,11.0,26.0,68.0,27.659574468085108
467,2012,6-Houston,Male,Anglo,Birth to Five Years Old,13.0,61.0,13.0,0.0,6.0,6.0,0.0,3.0,78,64,426,6.65625,10.0,10.0,54.0,40.0,52.0,42.0,74.0,94.0,44.047619047619044
468,2012,6-Houston,Male,Anglo,Six to Twelve Years Old,11.0,45.0,3.0,15.0,14.0,4.0,0.0,2.0,54,70,1400,20.0,14.0,14.0,58.0,41.0,56.0,43.0,56.0,99.0,36.12903225806451
469,2012,6-Houston,Male,Anglo,Thirteen to Seventeen Years Old,1.0,7.0,0.0,2.0,3.0,2.0,0.0,0.0,7,49,1759,35.897959183673464,10.0,10.0,73.0,24.0,74.0,23.0,8.0,97.0,7.6190476190476195
470,2012,6-Houston,Male,Hispanic,Birth to Five Years Old,63.0,42.0,22.0,5.0,13.0,10.0,0.0,4.0,109,108,960,8.888888888888891,10.0,10.0,40.0,33.0,41.0,32.0,105.0,73.0,58.98876404494382
471,2012,6-Houston,Male,Hispanic,Six to Twelve Years Old,31.0,17.0,0.0,4.0,12.0,3.0,0.0,2.0,46,95,2405,25.315789473684212,14.0,14.0,49.0,37.0,50.0,36.0,48.0,86.0,35.82089552238806
472,2012,6-Houston,Male,Hispanic,Thirteen to Seventeen Years Old,6.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,6,38,2010,52.89473684210525,10.0,10.0,46.0,11.0,46.0,11.0,8.0,57.0,12.307692307692308
473,2012,6-Houston,Male,Other,Birth to Five Years Old,26.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,20,21,138,6.571428571428571,10.0,10.0,22.0,18.0,19.0,21.0,0.0,40.0,0.0
474,2012,6-Houston,Male,Other,Six to Twelve Years Old,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10,25,487,19.48,12.0,14.0,21.0,19.0,24.0,16.0,0.0,40.0,0.0
475,2012,7-Austin,Female,African American,Birth to Five Years Old,10.0,32.0,16.0,1.0,2.0,4.0,0.0,1.0,40,44,295,6.704545454545454,10.0,10.0,45.0,40.0,39.0,46.0,42.0,85.0,33.07086614173229
476,2012,7-Austin,Female,African American,Six to Twelve Years Old,4.0,13.0,3.0,2.0,0.0,1.0,0.0,0.0,14,30,433,14.433333333333335,14.0,14.0,44.0,34.0,39.0,39.0,17.0,78.0,17.894736842105264
477,2012,7-Austin,Female,African American,Thirteen to Seventeen Years Old,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,4,20,849,42.45,10.0,10.0,53.0,16.0,56.0,13.0,4.0,69.0,5.47945205479452
478,2012,7-Austin,Female,Anglo,Birth to Five Years Old,7.0,47.0,7.0,0.0,2.0,2.0,0.0,0.0,49,41,347,8.463414634146341,10.0,10.0,62.0,52.0,57.0,57.0,54.0,114.0,32.142857142857146
479,2012,7-Austin,Female,Anglo,Six to Twelve Years Old,4.0,13.0,2.0,7.0,5.0,0.0,0.0,0.0,17,32,498,15.5625,14.0,14.0,64.0,50.0,59.0,55.0,17.0,114.0,12.977099236641221
480,2012,7-Austin,Female,Anglo,Thirteen to Seventeen Years Old,1.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,14,18,498,27.66666666666667,10.0,10.0,72.0,25.0,73.0,24.0,17.0,97.0,14.912280701754385
481,2012,7-Austin,Female,Hispanic,Birth to Five Years Old,43.0,32.0,8.0,1.0,4.0,2.0,0.0,0.0,78,45,416,9.244444444444444,10.0,10.0,47.0,55.0,51.0,51.0,75.0,102.0,42.3728813559322
482,2012,7-Austin,Female,Hispanic,Six to Twelve Years Old,27.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,27,39,553,14.17948717948718,14.0,14.0,53.0,47.0,48.0,52.0,37.0,100.0,27.00729927007299
483,2012,7-Austin,Female,Hispanic,Thirteen to Seventeen Years Old,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,11,17,316,18.58823529411765,10.0,10.0,41.0,31.0,46.0,26.0,11.0,72.0,13.253012048192772
484,2012,7-Austin,Female,Other,Birth to Five Years Old,19.0,0.0,4.0,0.0,2.0,3.0,0.0,0.0,17,12,99,8.25,8.0,10.0,17.0,19.0,16.0,20.0,0.0,36.0,0.0
485,2012,7-Austin,Male,African American,Birth to Five Years Old,16.0,22.0,8.0,1.0,6.0,5.0,0.0,0.0,30,43,280,6.511627906976744,10.0,10.0,45.0,32.0,37.0,40.0,38.0,77.0,33.04347826086956
486,2012,7-Austin,Male,African American,Six to Twelve Years Old,9.0,18.0,1.0,3.0,6.0,3.0,0.0,0.0,22,33,763,23.12121212121212,14.0,14.0,45.0,19.0,41.0,23.0,27.0,64.0,29.67032967032967
487,2012,7-Austin,Male,African American,Thirteen to Seventeen Years Old,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,16,935,58.4375,10.0,10.0,44.0,14.0,45.0,13.0,0.0,58.0,0.0
488,2012,7-Austin,Male,Anglo,Birth to Five Years Old,15.0,41.0,13.0,2.0,9.0,3.0,1.0,3.0,55,55,375,6.8181818181818175,10.0,10.0,71.0,60.0,67.0,64.0,56.0,131.0,29.946524064171122
489,2012,7-Austin,Male,Anglo,Six to Twelve Years Old,9.0,27.0,0.0,12.0,12.0,4.0,0.0,1.0,35,37,451,12.189189189189188,14.0,14.0,68.0,49.0,66.0,51.0,36.0,117.0,23.52941176470588
490,2012,7-Austin,Male,Anglo,Thirteen to Seventeen Years Old,2.0,7.0,0.0,8.0,4.0,2.0,0.0,0.0,13,30,1187,39.56666666666667,10.0,10.0,99.0,28.0,101.0,26.0,9.0,127.0,6.61764705882353
491,2012,7-Austin,Male,Hispanic,Birth to Five Years Old,35.0,31.0,23.0,0.0,9.0,2.0,0.0,0.0,61,47,369,7.851063829787233,10.0,10.0,58.0,49.0,53.0,54.0,66.0,107.0,38.15028901734104
492,2012,7-Austin,Male,Hispanic,Six to Twelve Years Old,32.0,9.0,1.0,4.0,5.0,2.0,0.0,0.0,33,44,790,17.954545454545453,14.0,14.0,56.0,42.0,55.0,43.0,41.0,98.0,29.496402877697843
493,2012,7-Austin,Male,Hispanic,Thirteen to Seventeen Years Old,6.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,9,30,982,32.73333333333333,10.0,10.0,67.0,25.0,70.0,22.0,7.0,92.0,7.07070707070707
494,2012,7-Austin,Male,Other,Birth to Five Years Old,16.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,15,16,68,4.25,10.0,10.0,29.0,21.0,28.0,22.0,0.0,50.0,0.0
495,2012,7-Austin,Male,Other,Six to Twelve Years Old,6.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,6,7,80,11.428571428571427,14.0,14.0,22.0,11.0,23.0,10.0,0.0,33.0,0.0
496,2012,7-Austin,Male,Other,Thirteen to Seventeen Years Old,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,3,74,24.66666666666667,6.0,10.0,23.0,3.0,23.0,3.0,0.0,26.0,0.0
497,2012,8-San Antonio,Female,African American,Birth to Five Years Old,17.0,16.0,8.0,1.0,2.0,2.0,1.0,1.0,34,17,201,11.823529411764708,10.0,10.0,15.0,13.0,14.0,14.0,33.0,28.0,54.09836065573771
498,2012,8-San Antonio,Female,African American,Six to Twelve Years Old,1.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,6,18,404,22.444444444444446,14.0,14.0,22.0,13.0,20.0,15.0,7.0,35.0,16.666666666666664
499,2012,8-San Antonio,Female,African American,Thirteen to Seventeen Years Old,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,6,13,729,56.07692307692307,10.0,10.0,17.0,7.0,20.0,4.0,0.0,24.0,0.0
500,2012,8-San Antonio,Female,Anglo,Birth to Five Years Old,13.0,30.0,9.0,0.0,1.0,1.0,0.0,1.0,37,27,167,6.185185185185184,10.0,10.0,37.0,27.0,33.0,31.0,43.0,64.0,40.18691588785047
501,2012,8-San Antonio,Female,Anglo,Six to Twelve Years Old,4.0,26.0,1.0,3.0,5.0,2.0,0.0,0.0,26,36,883,24.527777777777782,14.0,14.0,51.0,26.0,50.0,27.0,30.0,77.0,28.037383177570092
502,2012,8-San Antonio,Female,Anglo,Thirteen to Seventeen Years Old,0.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,9,26,834,32.07692307692308,10.0,10.0,49.0,20.0,54.0,15.0,0.0,69.0,0.0
503,2012,8-San Antonio,Female,Hispanic,Birth to Five Years Old,83.0,139.0,60.0,2.0,10.0,10.0,2.0,2.0,216,179,1502,8.391061452513965,10.0,10.0,78.0,68.0,74.0,72.0,222.0,146.0,60.32608695652174
504,2012,8-San Antonio,Female,Hispanic,Six to Twelve Years Old,67.0,112.0,8.0,10.0,15.0,6.0,0.0,1.0,178,181,3373,18.635359116022094,14.0,14.0,118.0,83.0,125.0,76.0,179.0,201.0,47.10526315789474
505,2012,8-San Antonio,Female,Hispanic,Thirteen to Seventeen Years Old,16.0,21.0,0.0,9.0,6.0,1.0,0.0,0.0,38,86,3418,39.74418604651163,10.0,10.0,79.0,32.0,90.0,21.0,37.0,111.0,25.0
506,2012,8-San Antonio,Female,Other,Birth to Five Years Old,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8,3,11,3.6666666666666665,10.0,10.0,16.0,12.0,18.0,10.0,0.0,28.0,0.0
507,2012,8-San Antonio,Female,Other,Six to Twelve Years Old,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5,3,69,23.0,12.0,14.0,12.0,6.0,14.0,4.0,0.0,18.0,0.0
508,2012,8-San Antonio,Male,African American,Birth to Five Years Old,20.0,21.0,6.0,1.0,2.0,3.0,0.0,0.0,41,32,288,9.0,10.0,10.0,19.0,7.0,17.0,9.0,41.0,26.0,61.19402985074627
509,2012,8-San Antonio,Male,African American,Six to Twelve Years Old,6.0,12.0,1.0,3.0,4.0,0.0,0.0,0.0,18,29,485,16.724137931034484,14.0,14.0,20.0,14.0,21.0,13.0,18.0,34.0,34.61538461538461
510,2012,8-San Antonio,Male,African American,Thirteen to Seventeen Years Old,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,4,21,1064,50.66666666666666,10.0,10.0,23.0,6.0,23.0,6.0,7.0,29.0,19.444444444444446
511,2012,8-San Antonio,Male,Anglo,Birth to Five Years Old,15.0,44.0,14.0,4.0,6.0,3.0,0.0,0.0,59,35,226,6.457142857142857,10.0,10.0,37.0,35.0,36.0,36.0,59.0,72.0,45.038167938931295
512,2012,8-San Antonio,Male,Anglo,Six to Twelve Years Old,9.0,19.0,0.0,4.0,7.0,0.0,0.0,0.0,31,36,940,26.11111111111111,14.0,14.0,54.0,31.0,49.0,36.0,28.0,85.0,24.778761061946902
513,2012,8-San Antonio,Male,Anglo,Thirteen to Seventeen Years Old,4.0,3.0,0.0,5.0,3.0,0.0,0.0,0.0,7,33,1714,51.93939393939394,10.0,10.0,58.0,15.0,59.0,14.0,7.0,73.0,8.75
514,2012,8-San Antonio,Male,Hispanic,Birth to Five Years Old,97.0,145.0,64.0,4.0,17.0,11.0,0.0,1.0,249,200,1960,9.8,10.0,10.0,85.0,79.0,84.0,80.0,242.0,164.0,59.60591133004927
515,2012,8-San Antonio,Male,Hispanic,Six to Twelve Years Old,45.0,100.0,5.0,14.0,31.0,5.0,0.0,1.0,151,196,3957,20.188775510204078,14.0,14.0,115.0,83.0,120.0,78.0,145.0,198.0,42.27405247813411
516,2012,8-San Antonio,Male,Hispanic,Thirteen to Seventeen Years Old,18.0,20.0,0.0,7.0,7.0,1.0,0.0,1.0,33,129,6382,49.47286821705426,10.0,10.0,87.0,36.0,95.0,28.0,38.0,123.0,23.60248447204969
517,2012,8-San Antonio,Male,Other,Birth to Five Years Old,20.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,10,3,8,2.6666666666666665,10.0,10.0,12.0,11.0,12.0,11.0,0.0,23.0,0.0
518,2012,8-San Antonio,Male,Other,Six to Twelve Years Old,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5,1,12,12.0,12.0,14.0,12.0,7.0,15.0,4.0,0.0,19.0,0.0
519,2012,9-Midland,Female,African American,Birth to Five Years Old,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,5,4,36,9.0,6.0,10.0,6.0,2.0,6.0,2.0,6.0,8.0,42.857142857142854
520,2012,9-Midland,Female,Anglo,Birth to Five Years Old,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5,14,73,5.214285714285714,10.0,10.0,26.0,20.0,23.0,23.0,5.0,46.0,9.803921568627452
521,2012,9-Midland,Female,Anglo,Six to Twelve Years Old,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,6,10,164,16.4,14.0,14.0,23.0,25.0,25.0,23.0,6.0,48.0,11.11111111111111
522,2012,9-Midland,Female,Anglo,Thirteen to Seventeen Years Old,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,4,13,284,21.846153846153847,10.0,10.0,30.0,14.0,35.0,9.0,0.0,44.0,0.0
523,2012,9-Midland,Female,Hispanic,Birth to Five Years Old,11.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,19,22,133,6.045454545454546,10.0,10.0,28.0,19.0,24.0,23.0,18.0,47.0,27.692307692307693
524,2012,9-Midland,Female,Hispanic,Six to Twelve Years Old,2.0,5.0,1.0,6.0,3.0,0.0,0.0,0.0,11,15,262,17.466666666666665,14.0,14.0,37.0,27.0,36.0,28.0,7.0,64.0,9.859154929577464
525,2012,9-Midland,Female,Hispanic,Thirteen to Seventeen Years Old,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,10,216,21.6,10.0,10.0,27.0,11.0,26.0,12.0,2.0,38.0,5.0
526,2012,9-Midland,Female,Other,Thirteen to Seventeen Years Old,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,2,40,20.0,4.0,9.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0
527,2012,9-Midland,Male,African American,Birth to Five Years Old,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2,13,6.5,0.0,10.0,4.0,1.0,3.0,2.0,0.0,5.0,0.0
528,2012,9-Midland,Male,Anglo,Birth to Five Years Old,4.0,10.0,6.0,2.0,3.0,1.0,0.0,0.0,16,17,142,8.352941176470589,10.0,10.0,24.0,30.0,24.0,30.0,14.0,54.0,20.588235294117645
529,2012,9-Midland,Male,Anglo,Six to Twelve Years Old,1.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2,12,193,16.083333333333332,14.0,14.0,33.0,17.0,35.0,15.0,5.0,50.0,9.090909090909092
530,2012,9-Midland,Male,Anglo,Thirteen to Seventeen Years Old,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2,14,664,47.42857142857143,10.0,10.0,34.0,7.0,37.0,4.0,0.0,41.0,0.0
531,2012,9-Midland,Male,Hispanic,Birth to Five Years Old,12.0,10.0,5.0,1.0,5.0,2.0,0.0,1.0,27,30,260,8.666666666666666,10.0,10.0,46.0,26.0,45.0,27.0,22.0,72.0,23.404255319148938
